Order,Command,R_2e6,R_1e7,R_1e8,Stata_2e6,Stata_1e7,Stata_1e8
1,open csv (/3),0.6,1.8882,9.389933333,5.466333333,28.469,273.6616667
2,save,1.983,10.209,106.647,0.57,2.25,57.684
3,open,2.165,12.109,134.926,0.07,0.45,3.34
4,sort string,0.25,1.633,22.826,2.511,13.16,226.843
5,sort int,0.207,1.403,19.981,1.1,8.44,120.449
6,sort float,0.257,1.432,16.518,1.08,6.13,86.985
7,sort  all,0.446,2.951,30.025,2.25,13.24,204.353
8,distinct by int,0.044,0.409,5.957,2.903,15.14,205.274
9,distinct by 3 int,0.058,0.484,8.488,0.66,3.169,29.006
10,keep distinct (/2),0.078,0.652,11.261,4.2675,21.3855,269.044
11,merge,1.487,5.437,57.8,2.96,15.68,246.684
12,append,0.607,3.226,36.346,0.58,2.8,27.481
13,reshape long,0.023,0.111,1.671,3.37,19.14,250.946
14,reshape wide,0.422,3.017,44.328,5.83,30.78,344.829
15,recode,0.149,0.737,8.049,0.57,2.589,30.345
16,xtile,0.11,1.209,9.255,1.388,7.13,94.028
17,group,0.571,3.213,41.358,3.336,22.678,293.485
18,sum large group,0.053,0.292,3.1777,2.372,13.28,135.73
19,sum small groups,0.121,1.16,19.45,3.452,21.214,219.92
20,mean small int,0.102,0.651,9.935,3.018,17.756,185.226
21,mean large groups,1.698,9.637,115.16,4.921,30.33,312.858
22,sd small groups,0.535,3.022,44.785,3.476,21.113,222.542
23,collapse large groups,0.081,0.417,4.285,2.192,12.844,166.395
24,collapse small groups,0.588,4.136,236,2.6,16.07,226.29
25,loop,0.758,4.093,,,,
26,loop,1.451,7.628,,,,
27,matrix,0.058,0.299,,,,
28,reg ,1.506,7.668,261,0.144,0.478,5.938
29,reg fe ,1.132,7.668,88,0.435,1.957,16.95
30,reg hfe  (/2),1.8125,6.51,93.5,3.803,18.553,227.347
31,reg 2 hfe (/2)  ,1.6325,7.414,74.5,4.309,22.674,256.968
